NM_001001398.2 fgf6a
NM_001002147.1 ddt
NM_001002148.1 rpp40
NM_001002149.1 pigk
NM_001002150.1 cav2
NM_001002151.2 calua
NM_001002152.1 rap1aa
NM_001002153.3 ndufa1
NM_001002154.1 ap3m2
NM_001002155.1 rpl21
NM_001002156.2 dcun1d2b
NM_001002157.1 idh3b
NM_001002158.1 rcn3
NM_001002159.2 trnt1
NM_001002160.2 rpf1
NM_001002161.3 ints12
NM_001002162.1 eaf2
NM_001002163.1 cox5ba
NM_001002164.1 zgc:86598
NM_001002165.1 wipf2b
NM_001002166.2 kdm5bb
NM_001002167.1 zgc:91968
NM_001002168.1 rbck1
NM_001002169.2 sat1a.2
NM_001002170.1 mapre3b
NM_001002171.1 hdac11
NM_001002172.2 elavl2
NM_001002173.1 nr4a1
NM_001002174.1 mrrf
NM_001002175.1 sntb1
NM_001002176.1 tha1
NM_001002177.2 impdh1a
NM_001002178.1 rab7b
NM_001002179.1 tmem30b
NM_001002180.1 mgat4b
NM_001002181.1 mthfd2
NM_001002182.1 slc52a3-2b
NM_001002183.1 cdc42ep4a
NM_001002184.1 litaf
NM_001002185.1 smpx
NM_001002186.1 tspan9b
NM_001002187.1 cyp2x8
NM_001002188.1 anks4b
NM_001002189.1 bambib
NM_001002190.2 rgcc
NM_001002191.1 mob3c
NM_001002192.1 cmah
NM_001002193.1 kiaa0513
NM_001002194.1 cep41
NM_001002195.1 rassf2b
NM_001002196.1 gmppaa
NM_001002197.1 sh3bgrl2
NM_001002198.1 btbd9
NM_001002199.1 prpsap1
NM_001002200.2 trub2
NM_001002201.1 dbnla
NM_001002202.1 ppp1r42
NM_001002203.1 fam32a
NM_001002204.1 prpf18
NM_001002205.1 dhrs1
NM_001002206.1 abca4a
NM_001002207.1 acaa1
NM_001002208.1 tpgs2
NM_001002209.1 rabepk
NM_001002210.1 spag6
NM_001002211.2 plpp5
NM_001002212.1 prss35
NM_001002213.1 tatdn1
NM_001002215.2 mgst1.2
NM_001002216.1 gadd45ab
NM_001002217.1 cpa4
NM_001002218.2 nfil3-6
NM_001002219.1 htra1a
NM_001002220.1 dctn3
NM_001002221.1 aar2
NM_001002222.2 pak4
NM_001002223.1 mpp2b
NM_001002224.2 kctd4
NM_001002225.2 sgtb
NM_001002226.1 enoph1
NM_001002227.2 bgna
NM_001002228.1 rhbdf1a
NM_001002229.2 snx7
NM_001002230.1 tuba7l
NM_001002297.1 gnl3
NM_001002298.2 get3
NM_001002299.2 ptprub
NM_001002300.1 si:ch211-114c12.2
NM_001002301.2 prdm5
NM_001002302.1 ipo11
NM_001002303.2 nceh1a
NM_001002304.1 twf1b
NM_001002305.1 phtf2
NM_001002306.2 mrps33
NM_001002307.1 rbp2b
NM_001002308.1 spp1
NM_001002309.1 dnaaf6
NM_001002310.1 pkd2
NM_001002311.1 dnaaf11
NM_001002312.1 ift172
NM_001002313.1 ift81
NM_001002314.2 hic1
NM_001002315.3 ccm2
NM_001002316.2 ltv1
NM_001002317.2 polr2d
NM_001002318.1 rab15
NM_001002319.2 ublcp1
NM_001002320.1 stard3nl
NM_001002321.1 trmt61a
NM_001002322.1 slc30a5
NM_001002323.1 nudt2
NM_001002324.1 zdhhc24
NM_001002325.2 rdh12
NM_001002326.1 pls3
NM_001002327.1 dennd2b
NM_001002328.1 ebp
NM_001002329.1 kctd6b
NM_001002330.5 ube2z
NM_001002331.1 agxta
NM_001002332.1 uox
NM_001002333.1 stx5a
NM_001002334.1 tspan13a
NM_001002335.1 kpna2
NM_001002336.1 mapkapk5
NM_001002337.1 hax1
NM_001002338.1 pnpla3
NM_001002339.1 arl5a
NM_001002340.1 cldn7a
NM_001002341.1 cenpn
NM_001002342.1 narf
NM_001002343.1 gbp1
NM_001002345.1 rxrgb
NM_001002346.1 hvcn1
NM_001002347.1 acy3.2
NM_001002348.1 tspan4a
NM_001002349.2 aqp10a
NM_001002350.1 pla2g10
NM_001002351.1 pdss2
NM_001002352.1 rspo1
NM_001002353.1 dnajb6a
NM_001002354.1 bpnt1
NM_001002355.1 thop1
NM_001002356.1 nus1
NM_001002357.1 hormad1
NM_001002358.1 trim55a
NM_001002359.1 sccpdha.1
NM_001002360.1 slc25a40
NM_001002361.2 mettl21e
NM_001002362.2 ppfibp2b
NM_001002363.1 cd36
NM_001002364.2 mob2a
NM_001002365.1 kat5a
NM_001002367.1 slc25a48
NM_001002368.1 ctsl.1
NM_001002369.1 akr7a3
NM_001002370.1 tsr3
NM_001002371.1 eef1a2
NM_001002372.1 tm4sf5
NM_001002373.1 galm
NM_001002374.2 aldh6a1
NM_001002375.1 nelfe
NM_001002376.2 ppp1r3ca
NM_001002377.1 ccdc62
NM_001002378.1 fthl27
NM_001002379.2 entpd8
NM_001002380.1 clptm1l
NM_001002381.1 ric3b
NM_001002382.1 rbm34
NM_001002383.1 krt97
NM_001002384.1 cpsf2
NM_001002385.1 ift74
NM_001002386.2 kars1
NM_001002387.1 pbk
NM_001002389.1 ip6k2b
NM_001002390.2 zgc:92045
NM_001002391.2 zgc:92040
NM_001002392.1 krt95
NM_001002393.1 gpatch11
NM_001002394.1 b9d2
NM_001002395.2 faimb
NM_001002396.2 tmem178bb
NM_001002397.1 gng7
NM_001002398.2 mpc1
NM_001002399.1 pdha1b
NM_001002400.2 gng13b
NM_001002401.1 mrpl24
NM_001002402.2 tusc2b
NM_001002403.1 dnase1l1l
NM_001002404.2 glrx2
NM_001002405.1 arr3a
NM_001002406.1 nr4a2b
NM_001002407.1 lim2.4
NM_001002408.1 crygm2d13
NM_001002409.1 rbpms2a
NM_001002410.1 cryba1a
NM_001002411.2 otub1a
NM_001002412.1 zfyve19
NM_001002414.2 cabp1b
NM_001002415.2 vps26bl
NM_001002416.2 epdr1
NM_001002417.2 med31
NM_001002418.1 mrps26
NM_001002419.1 entpd4
NM_001002420.2 gapvd1
NM_001002421.1 commd2
NM_001002422.1 zgc:92664
NM_001002423.1 aagab
NM_001002424.2 slc48a1a
NM_001002425.1 haus4
NM_001002426.2 rprm3
NM_001002427.2 eny2
NM_001002428.2 mrpl43
NM_001002429.1 wdr83
NM_001002430.1 pxylp1
NM_001002431.3 rgs20
NM_001002433.1 dnajc9
NM_001002434.1 havcr1
NM_001002435.1 pqbp1
NM_001002436.2 psmd9
NM_001002437.1 gnb3a
NM_001002438.2 dpy30
NM_001002439.2 tspan18b
NM_001002440.2 elocb
NM_001002442.1 nubpl
NM_001002443.2 opn1lw2
NM_001002444.2 decr1
NM_001002445.1 rhocb
NM_001002446.2 cldn15lb
NM_001002447.1 myoz1b
NM_001002448.1 ing2
NM_001002449.1 ciao2b
NM_001002450.2 meox1
NM_001002451.1 ufd1l
NM_001002452.1 acp5b
NM_001002453.1 mmadhca
NM_001002454.1 gtpbp10
NM_001002455.1 phlda3
NM_001002456.1 setd7
NM_001002457.2 egfl6
NM_001002458.1 dgat1b
NM_001002459.2 cplx2a
NM_001002460.2 zgc:92907
NM_001002461.1 txnb
NM_001002462.1 dusp23b
NM_001002464.1 dnajc5aa
NM_001002465.2 timm13
NM_001002466.1 brap
NM_001002468.2 prdx2
NM_001002469.2 napgb
NM_001002470.2 surf4l
NM_001002471.1 calca
NM_001002472.3 atp2b3a
NM_001002473.1 arl1
NM_001002474.2 ldhbb
NM_001002475.1 nkx6.1
NM_001002476.1 polr3h
NM_001002477.1 spryd4
NM_001002478.3 sf3b5
NM_001002479.1 cstpp1
NM_001002480.2 mydgf
NM_001002481.2 gstz1
NM_001002482.1 trappc5
NM_001002483.2 sox1a
NM_001002484.1 tmem147
NM_001002485.2 mrps15
NM_001002486.2 rpl38
NM_001002487.1 rpl35a
NM_001002488.1 ubald1a
NM_001002489.2 sdhda
NM_001002491.2 olfm1a
NM_001002492.1 cmtm4
NM_001002493.1 jdp2b
NM_001002494.1 rergla
NM_001002495.3 uqcrq
NM_001002496.4 homer1b
NM_001002497.1 dctn5
NM_001002498.2 hccsa.1
NM_001002499.3 sec61g
NM_001002500.2 otub1b
NM_001002502.1 n6amt1
NM_001002503.2 ndfip1l
NM_001002504.2 hectd1
NM_001002505.1 sub1b
NM_001002506.1 lyrm1
NM_001002507.2 nrn1a
NM_001002509.1 supt4h1
NM_001002511.2 rabif
NM_001002512.2 zgc:92818
NM_001002513.2 slc1a4
NM_001002514.1 dusp22a
NM_001002515.3 cdk5r1b
NM_001002516.2 nme5
NM_001002517.2 arl6ip5b
NM_001002518.1 mrpl46
NM_001002519.1 tmem203
NM_001002521.2 sec11a
NM_001002522.2 hgh1
NM_001002523.3 rgs17
NM_001002524.1 rab40b
NM_001002525.2 rpp38
NM_001002526.2 atp6v1f
NM_001002527.3 sec61b
NM_001002528.1 asb13a.1
NM_001002529.1 psmg3
NM_001002530.2 rab3c
NM_001002531.1 rgs8
NM_001002532.1 vamp1b
NM_001002533.2 rab11fip4a
NM_001002534.1 nop16
NM_001002535.2 rwdd1
NM_001002536.1 fam204a
NM_001002537.1 parp6a
NM_001002538.2 ppp1r1c
NM_001002539.1 ap3s2
NM_001002540.1 rpp25l
NM_001002541.1 rgs7a
NM_001002542.1 camk2d2
NM_001002543.2 psmb10
NM_001002544.2 polr2f
NM_001002545.2 tpgs1
NM_001002546.1 vapal
NM_001002547.2 psmf1
NM_001002548.1 taf11
NM_001002549.1 itm2ca
NM_001002550.2 pir
NM_001002551.1 nsmce1
NM_001002552.2 s100b
NM_001002553.1 polr3k
NM_001002554.2 sat2b
NM_001002555.1 rab11bb
NM_001002556.1 mrpl11
NM_001002557.1 nedd8l
NM_001002558.1 slc25a46
NM_001002559.1 slc35f6
NM_001002560.1 gstk1
NM_001002561.2 clic2
NM_001002562.2 celf4
NM_001002563.1 stmn4l
NM_001002565.2 pigh
NM_001002566.1 rab10
NM_001002567.1 mpv17l2
NM_001002568.2 gc
NM_001002569.2 tpmt.1
NM_001002570.1 zgc:92749
NM_001002572.1 srprb
NM_001002573.3 zgc:92744
NM_001002574.1 nr1h4
NM_001002575.1 tmco1
NM_001002576.3 rida
NM_001002577.2 suclg1
NM_001002578.1 ankrd54
NM_001002579.1 gcshb
NM_001002580.1 pmepa1
NM_001002581.1 crygm2d8
NM_001002582.2 crygm2d15
NM_001002583.1 faima
NM_001002584.1 cryba2b
NM_001002585.2 tcta
NM_001002586.1 cryba1b
NM_001002587.1 lim2.3
NM_001002588.1 sec63
NM_001002589.1 psma6b
NM_001002590.1 plaat1
NM_001002591.1 rnd3b
NM_001002592.1 ska1
NM_001002593.2 tnfsf10
NM_001002594.1 sgce
NM_001002595.2 egln1b
NM_001002596.1 zgc:92313
NM_001002597.2 syn2a
NM_001002598.1 lzic
NM_001002599.1 sult1st6
NM_001002600.1 ube2r2
NM_001002602.1 zdhhc7
NM_001002603.2 ccdc65
NM_001002604.2 morf4l1
NM_001002605.1 sirt5
NM_001002606.1 lemd1
NM_001002607.1 rnls
NM_001002608.1 rgp1
NM_001002609.1 psmb2
NM_001002610.1 srsf5b
NM_001002611.1 tyw3
NM_001002612.1 zgc:92275
NM_001002613.1 nrbf2b
NM_001002614.2 cmc2
NM_001002615.1 mterf3
NM_001002616.1 peli2
NM_001002617.2 tspan33a
NM_001002618.1 naxe
NM_001002619.1 nup37
NM_001002620.2 coq3
NM_001002621.1 gsto1
NM_001002622.1 irf8
NM_001002623.1 rarres3l
NM_001002624.1 cldn11a
NM_001002625.1 supt3h
NM_001002626.1 zgc:92242
NM_001002627.1 lrrc57
NM_001002628.1 ccdc85cb
NM_001002629.1 tnni1d
NM_001002630.1 bpgm
NM_001002631.1 dffa
NM_001002632.1 prkab1a
NM_001002633.1 cryzl1
NM_001002634.2 nipal3
NM_001002635.1 slc17a9b
NM_001002636.1 khk
NM_001002637.1 tmem53
NM_001002638.1 preb
NM_001002639.1 dedd
NM_001002640.1 tm2d2
NM_001002642.1 camk2n2
NM_001002643.1 slc2a3a
NM_001002645.3 eci2
NM_001002646.1 ada
NM_001002647.1 egr3
NM_001002648.1 slc38a5b
NM_001002649.2 aclya
NM_001002650.1 crlf1a
NM_001002651.1 limk2
NM_001002652.1 cacnb1
NM_001002653.1 serpinb1
NM_001002654.2 pdlim5a
NM_001002655.2 atxn7l2b
NM_001002656.2 dgcr2
NM_001002657.2 uqcrc2a
NM_001002658.2 frs2b
NM_001002659.2 rnaseh1
NM_001002660.1 sesn1
NM_001002661.2 rad17
NM_001002662.2 rgs2
NM_001002664.1 nipal4
NM_001002665.1 dmtf1
NM_001002666.1 slc1a1
NM_001002667.1 slc25a36a
NM_001002668.1 zgc:91944
NM_001002669.1 cybc1
NM_001002670.2 cryabb
NM_001002671.1 clrn1
NM_001002672.1 ap4m1
NM_001002673.1 sart1
NM_001002674.1 dnase1
NM_001002675.1 ccr10
NM_001002676.2 bcat2
NM_001002677.2 sumo3b
NM_001002678.3 timm10
NM_001002679.1 rab3db
NM_001002680.1 thap12b
NM_001002681.2 phb2b
NM_001002682.1 casq2
NM_001002683.1 dpp3
NM_001002684.2 zgc:86764
NM_001002685.1 gpat3
NM_001002686.2 blvrb
NM_001002687.1 igsf3l
NM_001002688.1 cdc34b
NM_001002689.2 gata2b
NM_001002690.1 csdc2a
NM_001002691.1 gpr137
NM_001002692.1 ppp1r14bb
NM_001002693.2 ramp1
NM_001002694.1 prcp
NM_001002695.3 cox6b1
NM_001002696.2 dhrs11b.2
NM_001002697.2 denr
NM_001002698.1 tomm20b
NM_001002699.3 kat14
NM_001002700.2 faah2a
NM_001002701.1 tlcd5b
NM_001002702.2 crebl2
NM_001002703.2 snrnp27
NM_001002704.2 pbdc1
NM_001002705.1 tmc6b
NM_001002706.1 lygl1
NM_001002707.2 zgc:92606
NM_001002708.1 pde6d
NM_001002710.2 ccdc149b
NM_001002711.2 fundc1
NM_001002712.2 cox20
NM_001002713.1 mfsd5
NM_001002714.1 psmg1
NM_001002715.1 zgc:92360
NM_001002716.2 allc
NM_001002717.1 pak2a
NM_001002718.2 ubtd2
NM_001002719.1 imp4
NM_001002720.1 lbr
NM_001002721.1 tfip11
NM_001002722.1 ttc33
NM_001002723.2 zgc:92594
NM_001002724.2 zgc:92591
NM_001002725.1 zdhhc3a
NM_001002726.2 wdhd1
NM_001002727.1 rnf144ab
NM_001002728.2 coq8aa
NM_001002730.1 ica1
NM_001002731.1 nfyal
NM_001002733.3 nxph1
NM_001002734.3 tspan18a
NM_001002735.2 lctla
NM_001002736.2 asb1
NM_001002738.1 kctd9b
NM_001002739.1 hid1b
NM_001002740.1 eef2k
NM_001002741.2 rnpep
NM_001002742.3 trappc1
NM_001002743.2 tk2
NM_001002744.1 abhd17b
NM_001002745.1 impa1
NM_001002746.2 pcca
NM_001002747.1 ube2b
NM_001002748.2 tspan36
NM_001002749.2 tyrp1b
NM_001002750.2 rab30
NM_001002751.2 ikbke
NM_001002752.2 yeats4
NM_001002753.3 ccdc103
NM_001002754.2 rac3a
NM_001002863.1 noc3l
NM_001002864.1 snw1
NM_001002865.1 exosc8
NM_001002866.2 rpl14
NM_001002867.3 pho
NM_001002868.1 dpy19l1l
NM_001002869.1 ddx27
NM_001002870.2 trim24
NM_001002871.2 trim33
NM_001002872.2 parvaa
NM_001002873.1 ctdp1
NM_001002874.1 gins3
NM_001002875.1 gnl3l
NM_001003411.1 ddx18
NM_001003412.1 clint1a
NM_001003413.1 get1
NM_001003414.1 nkap
NM_001003415.1 pdcd7
NM_001003416.2 med19b
NM_001003417.1 b4galt7
NM_001003418.1 ndufab1a
NM_001003419.1 rab3aa
NM_001003420.1 slc10a7
NM_001003421.1 vps26c
NM_001003422.2 sumo2b
NM_001003423.1 tnni2b.2
NM_001003424.2 pomp
NM_001003425.2 ptpa
NM_001003426.2 cela1.3
NM_001003427.1 psma1
NM_001003428.3 crygn2
NM_001003429.2 thoc7
NM_001003430.1 grifin
NM_001003431.2 hbba2
NM_001003432.2 rpl18
NM_001003433.1 nkiras2
NM_001003434.2 rpl29
NM_001003435.1 mrpl15
NM_001003436.2 ndufa7
NM_001003437.2 syf2
NM_001003438.2 rs1a
NM_001003439.1 mob4
NM_001003440.1 dtd1
NM_001003441.1 arf3a
NM_001003442.1 dnal1
NM_001003444.1 lhfpl3
NM_001003445.1 krt91
NM_001003446.2 cpa2
NM_001003447.1 rpl15
NM_001003448.1 slc25a55b
NM_001003449.1 rab18b
NM_001003450.2 cela1.5
NM_001003451.1 dusp2
NM_001003452.2 tipin
NM_001003453.2 adprh
NM_001003454.1 b3gat2
NM_001003455.1 dnajb4
NM_001003456.1 txndc17
NM_001003457.1 zgc:92429
NM_001003458.1 calhm2.1
NM_001003459.1 crhbp
NM_001003460.1 usb1
NM_001003461.1 phospho1
NM_001003462.1 trim35-36
NM_001003463.1 ntpcr
NM_001003464.1 cldnk
NM_001003465.2 nadk2
NM_001003466.2 pabir2
NM_001003467.1 socs1a
NM_001003468.2 cmtm3
NM_001003469.2 kxd1
NM_001003470.1 prkacab
NM_001003471.1 fkbp14
NM_001003473.1 gpalpp1
NM_001003474.1 spsb4b
NM_001003475.1 bloc1s4
NM_001003476.2 dnajc15
NM_001003477.1 dhrs3a
NM_001003478.1 prr15la
NM_001003479.1 rasgef1bb
NM_001003480.1 zgc:92380
NM_001003481.2 tmem60
NM_001003482.1 c1qb
NM_001003483.2 prpf38a
NM_001003484.1 caprin1a
NM_001003485.2 capn2l
NM_001003486.2 olfm1b
NM_001003487.1 tmed1a
NM_001003488.1 pkmb
NM_001003489.1 tm4sf4
NM_001003490.2 dus4l
NM_001003491.2 gmppb
NM_001003492.2 nck2b
NM_001003493.2 suds3
NM_001003494.1 ube2e2
NM_001003495.1 rpusd4
NM_001003496.1 c8a
NM_001003497.1 cptp
NM_001003498.1 zgc:91999
NM_001003499.1 lipia
NM_001003500.1 yipf2
NM_001003501.1 capn9
NM_001003502.1 htra3a
NM_001003503.1 elac1
NM_001003504.1 paip1
NM_001003505.2 stac3
NM_001003506.2 trappc2l
NM_001003507.1 lysmd2
NM_001003508.1 cdk5r2b
NM_001003509.1 grwd1
NM_001003510.1 dhrs13b.1
NM_001003511.2 alkbh3
NM_001003512.2 g6pc1a.1
NM_001003513.1 traf3
NM_001003514.1 cux1b
NM_001003515.1 hadh
NM_001003516.3 ndufa3
NM_001003517.2 pdia8
NM_001003518.3 chst1
NM_001003519.1 pltp
NM_001003520.1 fkbp9
NM_001003521.2 hsd17b14
NM_001003522.2 tmf1
NM_001003523.2 sdhc
NM_001003524.2 sh3bgr
NM_001003525.3 bola3
NM_001003526.2 zgc:100868
NM_001003527.1 kctd15b
NM_001003528.1 gfus.2
NM_001003529.2 suz12a
NM_001003530.2 rpp21
NM_001003531.3 fam151b
NM_001003532.1 desi2
NM_001003533.3 bag3
NM_001003534.1 mipa
NM_001003535.2 pbrm1l
NM_001003536.1 brf2
NM_001003537.2 sfxn1
NM_001003538.2 chchd4a
NM_001003539.1 nudcd2
NM_001003541.2 rbms2b
NM_001003542.2 fbxo44.5
NM_001003543.2 zgc:100829
NM_001003544.2 mrpl19
NM_001003545.1 entpd1
NM_001003546.2 gins4
NM_001003547.2 itsn2b
NM_001003548.2 rab35b
NM_001003549.2 lamtor2
NM_001003550.2 tm9sf1
NM_001003551.1 lsm1
NM_001003552.1 slc16a9b
NM_001003553.2 commd5
NM_001003555.3 cenpp
NM_001003556.3 dimt1l
NM_001003557.2 bola1
NM_001003558.2 tuba8l3
NM_001003559.2 fuca1.2
NM_001003560.2 ctu2
NM_001003561.1 stx2a
NM_001003562.3 sptlc3
NM_001003563.1 dmbx2
NM_001003564.2 polr2eb
NM_001003566.2 phpt1
NM_001003567.2 surf2
NM_001003569.2 acsl1b
NM_001003570.2 mfsd2ab
NM_001003571.1 dnajb1a
NM_001003572.1 aarsd1
NM_001003573.2 paqr5b
NM_001003574.2 tmem267
NM_001003575.1 pibf1
NM_001003576.2 auh
NM_001003577.1 commd7
NM_001003578.2 lpar2a
NM_001003579.1 morc3b
NM_001003580.2 klhl15
NM_001003581.1 trim101
NM_001003583.2 optc
NM_001003584.2 jagn1b
NM_001003585.1 med20
NM_001003586.2 mfsd6l
NM_001003587.1 glrbb
NM_001003588.2 zgc:101040
NM_001003589.2 ccdc12
NM_001003590.1 arf4a
NM_001003591.1 fam219aa
NM_001003592.1 suv39h1a
NM_001003593.3 cks1b
NM_001003594.2 tmem223
NM_001003595.2 cant1b
NM_001003596.1 dpm1
NM_001003597.2 mnd1
NM_001003598.2 nutf2l
NM_001003599.2 gcc1
NM_001003600.2 fam120b
NM_001003601.1 trappc3
NM_001003602.2 camk2d1
NM_001003603.1 dnal4a
NM_001003604.2 cibar1
NM_001003605.2 clmnb
NM_001003606.3 fam49al
NM_001003607.2 cnrip1a
NM_001003608.1 nr2e1
NM_001003609.2 mastl
NM_001003610.2 nicn1
NM_001003611.1 mettl16
NM_001003612.2 boka
NM_001003613.2 srek1
NM_001003614.2 riok3
NM_001003615.1 mrps23
NM_001003616.1 rcan1a
NM_001003617.1 nek7
NM_001003618.1 mphosph6
NM_001003619.2 uevld
NM_001003620.2 casq1a
NM_001003621.1 ifrd2
NM_001003622.2 zgc:100951
NM_001003623.1 naa50
NM_001003624.1 diaph3
NM_001003625.1 nup85
NM_001003626.2 gna15.1
NM_001003627.2 me2
NM_001003628.2 crk
NM_001003629.2 rgs3a
NM_001003630.2 wdr54
NM_001003631.1 shisa2a
NM_001003632.2 iscua
NM_001003633.1 gpn1
NM_001003634.1 fnbp1l
NM_001003635.1 nkain5
NM_001003636.1 hnmt
NM_001003637.3 timm8a
NM_001003640.2 aurka
NM_001003641.2 sgms2b
NM_001003642.2 kptn
NM_001003643.1 pef1
NM_001003644.2 neu3.2
NM_001003645.2 carm1
NM_001003646.2 hibadha
NM_001003647.2 clptm1
NM_001003648.1 slc38a7
NM_001003649.1 ralba
NM_001003650.1 ufc1
NM_001003651.1 zfand1
NM_001003727.3 klhl31
NM_001003728.1 rps6
NM_001003729.1 amy2al2
NM_001003730.1 sdf2l1
NM_001003731.2 zgc:91910
NM_001003732.1 fhl2a
NM_001003733.1 cldn8.1
NM_001003734.1 harbi1
NM_001003735.1 cd81b
NM_001003736.1 cyp8b1.1
NM_001003737.1 cela1.6
NM_001003738.1 ciapin1
NM_001003739.1 rad23aa
NM_001003740.1 psmc5
NM_001003741.1 picalmb
NM_001003742.1 hpdb
NM_001003743.1 acads
NM_001003744.2 kras
NM_001003746.1 acat1
NM_001003747.1 ndufv1
NM_001003748.2 sgcg
NM_001003749.4 aqp4
NM_001003752.2 babam1
NM_001003753.1 gna14
NM_001003755.2 immp2l
NM_001003756.1 meaf6
NM_001003757.2 zdhhc23b
NM_001003758.1 thoc3
NM_001003759.2 pbldp
NM_001003761.2 tmem167b
NM_001003762.1 arpc4l
NM_001003763.2 eif3ha
NM_001003764.3 dexi
NM_001003765.3 cthrc1a
NM_001003766.2 fam199x
NM_001003767.2 tmem179aa
